District, Name of Building, End Date of Home Quarantine
Sha Tin, "Block 1, Sunshine Grove",05/02/2020
Tsuen Wan, "Tower 2, Bellagio",05/02/2020
Sham Shui Po, "Block 44, Shek Kip Mei Estate",05/02/2020
Kowloon City, "Tai Wah Building, 19-21 Nga Tsin Long Road",05/02/2020
North, "Ching Cheung House, Cheung Lung Wai Estate",05/02/2020
Sham Shui Po, "Tower 3, Manhattan Hill",05/02/2020
Eastern, "Wo Hing House, Hing Wah (2) Estate",05/02/2020
Sham Shui Po, "Larkspur House, So Uk Estate",05/02/2020
Kowloon City, "Block 10, Cherry Mansions, Whampoa Garden (Site2)",06/02/2020
Tai Po, "Block 8, Grand Palisades",06/02/2020
Central & Western, "Sum Way Mansion , Belchers Streetm No.1",06/02/2020
Yuen Long, "Goodview Count, 253 Kam Sheung Road",06/02/2020
Tuen Mun, "Oi Ming House, Yau Oi Estate",06/02/2020
Sai Kung, "Ming Yat House, Kin Ming Estate",06/02/2020
Sai Kung, "Tower 2 (Aster Diamond), the Wings",06/02/2020
Yau Tsim Mong, "Shining Heights, 83 Sycamore Street",06/02/2020
Yau Tsim Mong, "Block 1, The Long Beach",06/02/2020
Wong Tai Sin, "Block 1, Tsui Chuk Garden",06/02/2020
Kwun Tong, "Sing Win Factory Building, 15-17 Shing Yip Street",06/02/2020
Kwun Tong, "Kan Wah House, Lok Wah North Estate",06/02/2020
Kwun Tong, "Lee Foo House , Shun Lee Estate",06/02/2020
Sham Shui Po, "Block 6, Metro Harbour View",06/02/2020
Kowloon City, "Fook Hing House, 44A Fuk Lo Tsun Road",07/02/2020
Kowloon City, "Good Rich Mansion, 7-8 Wa Fung Street",07/02/2020
Central & Western, "Bic Wah Court, 464 Des Voeux Road West",07/02/2020
Central & Western, "Liang Ga Building, 296-302 Des Voeux Road West",07/02/2020
Central & Western, "Jockey Club Student Village III, Hong Kong University",07/02/2020
Central & Western, "Hang Yue Building, 334-350 Des Voeux Road West",07/02/2020
Yuen Long, "Ngau Keng Tsuen, Kam Sheung Road",07/02/2020
Sai Hung Tai Po, "Tsai Village, Clear Water Bay Road",07/02/2020
Sai Kung, "Yee Yan House, Yee Ming Estate",07/02/2020
Sha Tin, "Tsun Chuen House, Shui Chuen O Estate",07/02/2020
Sha Tin, "Block K, Phase 4 Sunshine City",07/02/2020
Sha Tin, "Block 49, City One",07/02/2020
Eastern, "Block C, Sunway Gardens",07/02/2020
Yau Tsim Mong, "Block 2, Eltanin Square Mile",07/02/2020
Southern, "Block A, Ngan On House , Yue On Court",07/02/2020
Wong Tai Sin, "Lung Yat House, Lower Wong Tai Sin, "Estate",07/02/2020
Wong Tai Sin, "Lai Yuen House, Chuk Yuen South Estate",07/02/2020
Kwai Tsing, "Kwai Ching House, Kwai Fong Estate",07/02/2020
Kwai Tsing, "Block 1, Kwai Chung Plaza",07/02/2020
Islands, "Ying Tung Estate, Ying Yuet Estate",07/02/2020
Kwun Tong, "Tin Chi House, Shun Tin Estate",07/02/2020
Yau Tsim Mong, "Lucky House, 18-24 Jordan Road",07/02/2020
Yau Tsim Mong, "Tower 1, Eltanin Square Mile",07/02/2020
Kowloon City, "Block A, Fok Lin Building",08/02/2020
Kowloon City, "Block 10, Cherry Mansions, Whampoa Garden (Site2)",08/02/2020
Central & Western, "Block 1, Cayman Rise",08/02/2020
Yuen Long, "Phase 1A Park Vista",08/02/2020
Yuen Long, "Block 4, Lynwood Court, Kingswood Villas (Phase 5)",08/02/2020
Yuen Long, "Fook Shun Building, No.45-67 Ma Wang Road",08/02/2020
Tuen Mun, "Block 4, Melody Garden",08/02/2020
Tuen Mun, "Block 10, Melody Garden",08/02/2020
Tuen Mun, "Chung Uk Tsuen (Tuen Mun)",08/02/2020
Tuen Mun, "Block 6, Pierhead Garden",08/02/2020
Sai Kung, "Tower 5, Le Prestige of Lohas Park",08/02/2020
Sai Kung, "Li Dak Sum Yip Yio Chin Kenneth Li Conference Lodge",08/02/2020
Sai Kung, "Ho Ming Court, No. 9 Kai King Road",08/02/2020
Sha Tin, "Hin Fu House, Hin Keng Estate",08/02/2020
Sha Tin, "Tower 3, Phase 3, Festival City",08/02/2020
Eastern, "Block 6, Nan Fung Sun Chuen",08/02/2020
Yau Tsim Mong, "Tower 2, Hampton place",08/02/2020
Tsuen Wan, "Tower West, Chelsea Court, No.90-114 Yeung Uk Road",08/02/2020
Sham Shui Po, "Wing Chun House, Wing Cheong Estate",08/02/2020
Sham Shui Po, "Hoi Wo House, Hoi Lai Estate",08/02/2020
Wong Tai Sin, "Cheong Sin House, Upper Wong Tai Sin Estate",08/02/2020
Kwai Tsing, "Fu Yin House, Tai Wo Hau Estate",08/02/2020
Islands, "Sui Yat House, Yat Tung Estate",08/02/2020
Wan Chai Block 2, Hoover Towers",08/02/2020
Kwun Tong, "Choi Wui House, Choi Hing Court",08/02/2020
Kwun Tong, "Chi Cheong Building, No.2-4 Yee On Street",08/02/2020
Kwun Tong, "Ping Shing House, Ping Tin Estate",08/02/2020
Tai Po, "Hing Wo House, Po Nga Court, Tai Wo Estate",09/02/2020
Central & Western, "Sang Cheong Building",09/02/2020
Yuen Long, "Chuen Shui House, Shui Pin Wai Estate",09/02/2020
Yuen Long, "Long Fu House, Tin Fu Court",09/02/2020
North, "Tai Yuen Tsuen, Sheung Shui Wai",09/02/2020
Yuen Long, "Block 5, Sherwood Court, Kingswood Villas",13/02/2020